Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
A Comparative Study on Predicting Food Quality using Machine Learning Techniques,M. Anly Antony; R. S. Kumar,"Dept. of Computer Science and Engineering, Sahrdaya College of Engineering and Technology, Thrissur, Kerala; Dept. of Computer Science and Engineering, Sahrdaya College of Engineering and Technology, Thrissur, Kerala",2021 7th International Conference on Advanced Computing and Communication Systems (ICACCS),3-Jun-21,2021,1,,1771,1776,"Machine Learning has been established to be a state of the art technology with a high number of successful cases in various research areas. These techniques have been applied widely on food quality evaluation in recent years. This paper reviews the recent developments in the field of estimating food quality and food safety using machine learning techniques. The primary focus is on the supply of defect-free, premium quality products to the consumers which is considered to be major factor for the competitiveness of manufacturing units. This paper provides a brief description of machine learning techniques and then a detailed comparative study of different techniques to grade different kinds of foods. We investigated many articles to resolve the problems in food domain which includes detecting the quality of fruits, vegetables, seafood, meat and dairy products. The results of this survey shows that machine learning techniques outperforms the conventional methods used in the food domain.",2575-7288,978-1-6654-0521-8,10.1109/ICACCS51430.2021.9441743,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9441743,Food quality;Food safety;Food grading;Machine Learning,Dairy products;Communication systems;Machine learning;Safety;Manufacturing,dairy products;food products;food safety;learning (artificial intelligence);quality control,premium quality products;food safety;food quality evaluation;predicting food quality;food domain;detailed comparative study;machine learning techniques,,1,,21,IEEE,3-Jun-21,,,IEEE,IEEE Conferences
A Comprehensive Study on Fruit Classification and Grading Techniques,J. V. P; S. M. M; R. P; P. U,"Department of CSE, Velagapudi Ramakrishna Siddhartha Engineering College, Vijayawada, India; Department of CSE, Velagapudi Ramakrishna Siddhartha Engineering College, Vijayawada, India; Department of CSE, Velagapudi Ramakrishna Siddhartha Engineering College, Vijayawada, India; Department of CSE, Velagapudi Ramakrishna Siddhartha Engineering College, Vijayawada, India",2022 3rd International Conference on Electronics and Sustainable Communication Systems (ICESC),19-Sep-22,2022,,,970,978,"Traditional methods for fruit grading are based on sensory or psychometric evaluation, which is costly and time-consuming. Different approaches were developed for different fruit like Dates, Apple, Mango, Tomato, and Mulberry based on their features like shape, color, Freshness, acidity, and some other methods also include cellular level analysis and Classification. The most prevalent traits used to detect diseases, ripeness, and fruit class are color, texture, and morphological characteristics. Agriculture automation is used to boost production and quality and promote economic growth. The techniques have evolved to grade fruits in cost-effective, less time-consuming using computer vision and machine learning algorithms that include Artificial Neural Networks and Support Vector Machine. ML techniques, spectrometric sensors, and non-invasive sensing provided better results. In this article, different Machine Learning and Deep Learning methods used along with traditional designs are considered and analyzed. Their mathematical model and algorithms are interpreted, and deep analysis is done.",,978-1-6654-7971-4,10.1109/ICESC54411.2022.9885492,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9885492,Psychometric;Artificial Neural Networks;Support Vector Machine;Machine Learning;Computer Vision;Deep Learning,Machine learning algorithms;Shape;Support vector machine classification;Color;Production;Sensor phenomena and characterization;Inspection,agricultural products;agriculture;computer vision;diseases;food products;image classification;learning (artificial intelligence);neural nets;support vector machines,fruit class;texture;morphological characteristics;agriculture automation;economic growth;grade fruits;computer vision;machine learning algorithms;Artificial Neural Networks;Support Vector Machine;ML techniques;noninvasive sensing;different Machine Learning;traditional designs;deep analysis;fruit Classification;grading techniques;fruit grading;sensory evaluation;psychometric evaluation;different fruit;Dates;Apple;Mango;Tomato;Mulberry;Freshness;acidity;cellular level analysis;prevalent traits,,,,38,IEEE,19-Sep-22,,,IEEE,IEEE Conferences
A Data Solution Approach Based on Data Mining for Vegetable Cultivation in terms of Ecological,U. UÇAR; F. BALO,"Department of Industrial Engineering, Fırat University, Elazığ, Turkey; Department of Industrial Engineering, Fırat University, Elazığ, Turkey",2018 International Conference on Artificial Intelligence and Data Processing (IDAP),24-Jan-19,2018,,,1,4,"In today's world, technological developments and increasing population increase cause rapid depletion of natural resources. Vegetable and similar plants, which have a great importance in terms of the continuity of life and ecological sustainability, are at the top of rapidly consumed resources and the lack of these plants causes serious problems in nature. Vegetable growing is of great importance in meeting the increased demand for vegetables and in ensuring ecological balance. Vegetable farming is one of the main export items of many countries, and many farmers are making significant investments this field. To make successful investments, to obtain efficient and quality products, proper investment policies need to be made. In this study, a decision support system based on data mining has been developed to ensure efficient use of land, to contribute to ecological balance, and to correctly direct investment in vegetable growing. Thanks to this system, it is aimed to determine suitable vegetable species which can be grown in the related region under the geographical and climatic constraints.",,978-1-5386-6878-8,10.1109/IDAP.2018.8620936,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8620936,Decision Tree;Vegetable Farming;Classification of Vegetable;Decision Support System,Data mining;Investment;Feedforward neural networks;Industrial engineering;Nanoelectromechanical systems;Decision support systems;Regression tree analysis,agricultural engineering;agricultural products;agriculture;data mining;decision support systems;ecology;international trade;investment;product quality;sustainable development;vegetation,vegetable farming;quality products;natural resource depletion;investment policies;export items;geographical constraint;climatic constraint;ecological sustainability;data mining;decision support system,,,,0,IEEE,24-Jan-19,,,IEEE,IEEE Conferences
A deep learning approach for the classification of diseased plant leaf images,S. S. Chouhan; A. Kaul; U. P. Singh,"School of Computer Science and Engineering, SMVDU, Katra, Jammu and Kashmir, India; School of Computer Science and Engineering, Shri Mata Vaishno Devi University, Katra, Jammu and Kashmir, India; School of Mathematics, SMVDU, Katra, Jammu and Kashmir, India",2019 International Conference on Communication and Electronics Systems (ICCES),20-Feb-20,2019,,,1168,1172,"Plant growth monitoring and plant protection are the key elements in the plant production industry. These factors influence the quality and productivity of the plant and its yields. Diseases are the major factor that vitiates the plant health. More often they harm plant parts like fruit, flower, leaf or stem, but quite often the severity of diseases may even result in plant death. In recent years, computer vision techniques, machine learning algorithms, and deep learning models have gained importance due to their capability of dealing with complex data with precision. These techniques are well known for pattern recognition and classification problems. Therefore in this work, a multilayer convolutional neural network is proposed for the classification of diseased plant leaf images. The real-time images of four different plants in healthy and diseased condition are collected for validating the performance of the proposed model. Results, when compared with other methods, shows the higher classification accuracy of the proposed model.",,978-1-7281-1261-9,10.1109/ICCES45898.2019.9002201,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9002201,Computer vision;Convolutional neural network;Deep learning;Image classification;Plant pathology,Diseases;Machine learning;Convolutional neural networks;Training;Conferences;Convolution;Testing,biology computing;botany;computer vision;convolutional neural nets;image classification;learning (artificial intelligence);plant diseases,diseases;plant health;plant parts;plant death;machine learning algorithms;diseased condition;deep learning approach;plant growth monitoring;plant production industry;diseased plant leaf image classification;plant protection;computer vision techniques;multilayer convolutional neural network;real-time images,,5,,19,IEEE,20-Feb-20,,,IEEE,IEEE Conferences
A Deep Neural Network based disease detection scheme for Citrus fruits,V. Kukreja; P. Dhiman,"Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India; (Department of Computer Science), Government PG College, Ambala Cantt, Haryana, India",2020 International Conference on Smart Electronics and Communication (ICOSEC),7-Oct-20,2020,,,97,101,"One of the most significant factors is the quality evaluation of agricultural products in supporting their marketability and controlling waste management. To classify the fruits into healthy and defected class, deep learning algorithms have been implemented to perform citrus disease detection. This study aims to use the dense CNN algorithm to detect and provide an effective method for detecting the apparent defects of citrus fruit. Citrus fruit images are collected and put in two classes of good and damaged ones, to recognize and categorize the image dataset. Firstly, a dense CNN model was used without doing preprocessing and data augmentation on 150 images and achieved an accuracy of 67 percent but the proposed model has used data augmentation and pre-processing to enhance the CNN performance and have used 1200 images. Further, the proposed model is compared with the dense model where data augmentation and pre-processing techniques have not been used. The overall accuracy of the proposed model is 89.1%. The results show that techniques of data augmentation and preprocessing have delivered promising insights to estimate citrus fruit's damages.",,978-1-7281-5461-9,10.1109/ICOSEC49089.2020.9215359,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9215359,Convolution Neural Network;Data Augmentation;Image processing;Stochastic gradient descent;Cross-Entropy,Diseases;Feature extraction;Training;Data models;Image segmentation;Neural networks,agricultural products;botany;convolutional neural nets;feature extraction;food products;image classification;learning (artificial intelligence);plant diseases;product quality,fruit classification;citrus fruit images;CNN algorithm;citrus disease detection;deep learning;agricultural product quality;deep neural network;data augmentation,,18,,19,IEEE,7-Oct-20,,,IEEE,IEEE Conferences
A Heterogeneous Lightweight Network for Plant Disease Classification,T. Sanida; D. Tsiktsiris; A. Sideris; M. Dasygenis,"Department of Electrical & Computer Engineering, University of Western Macedonia, Kozani, Greece; Department of Electrical & Computer Engineering, University of Western Macedonia, Kozani, Greece; Department of Electrical & Computer Engineering, University of Western Macedonia, Kozani, Greece; Department of Electrical & Computer Engineering, University of Western Macedonia, Kozani, Greece",2021 10th International Conference on Modern Circuits and Systems Technologies (MOCAST),27-Jul-21,2021,,,1,4,"The economy of many countries worldwide depends on the agricultural sector. In agriculture, plant cultivation is often affected by diseases. The plant diseases can cause partial or complete damage to the leaves and fruit. This leads to significant economic loss in the agricultural industry. At the same time, plant diseases, if not detected in an early stage, have negative consequences on the quantity, quality and production of agricultural crops. Thus, the biggest challenge in agriculture is the accurate and early diagnosis and the prevention of plant diseases. In this study, we modified the structure of a popular classification network, the MobileNet V2 to improve the overall accuracy of it, by applying the transfer learning technique and fine-tuning. Experimental findings have shown that the Modified MobileNet V2 architecture achieves a high level of overall accuracy compared to other similar CNN lightweight architectures used in plant leaf disease detection in the recent literature.",,978-1-6654-1847-8,10.1109/MOCAST52088.2021.9493415,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9493415,Heterogeneous system;Deep learning;CNN;Machine learning;MobileNet;Plant disease classification;Convolutional neural networks;Image classification.,Plants (biology);Transfer learning;Production;Agriculture;Real-time systems;Mobile handsets;Integrated circuit modeling,agriculture;crops;diseases;image classification;learning (artificial intelligence);plant diseases,heterogeneous lightweight network;plant disease classification;agricultural sector;agriculture;plant cultivation;plant diseases;partial damage;complete damage;agricultural industry;agricultural crops;popular classification network;plant leaf disease detection,,1,,13,IEEE,27-Jul-21,,,IEEE,IEEE Conferences
A Non-Destructive Approach of Young Coconut Maturity Detection using Acoustic Vibration and Neural Network,N. A. Fadchar; J. C. D. Cruz,"College of Engineering and Information Technology, Cavite State University, Cavite, Philippines; School of EECE and School of Graduate Studies, MAPUA University, Manila, Philippines",2020 16th IEEE International Colloquium on Signal Processing & Its Applications (CSPA),16-Apr-20,2020,,,136,137,"Fruit maturity classification particularly coconut could bring significant impact in improving the post-harvest industry standards. One of the major reason is because the maturity is related with quality and could affect the commercialization of the product. In the Philippines setting, young coconut or commonly known as buko are classified into three stages namely: Malauhog, Malakanin and Malakatad. In this paper, a classification system is proposed in order to establish a more scientific method of predicting the maturity stage of young coconut. Sound vibrations were created by a constant source of vibration from a vibration motor then the sound signatures or acoustic response were collected by the vibration sensor. The vibrations were collected three (3) times from the three (3) faces and three (3) edges of each samples, hence resulting to eighteen (18) sound signatures for every coconut. The model was trained and tested using 150 samples. Nine (9) sound signatures out of the eighteen was identified to be significant in the training phase after PCA has been applied. There were four (4) classifiers used in the study namely: SVM, KNN, ANN and DT. The classification system is based on the prediction model with the highest accuracy which is the Artificial Neural Network (ANN). The ANN model obtained an accuracy 93.3%.",,978-1-7281-5310-0,10.1109/CSPA48992.2020.9068723,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9068723,coconut;sound signature;machine learning;acoustic vibration;maturity classification,Vibrations;Artificial neural networks;Support vector machines;Acoustics;Mathematical model;Training;Classification algorithms,acoustic signal processing;agricultural products;feature extraction;neural nets;nondestructive testing;pattern classification;principal component analysis;support vector machines;vibrational signal processing,nondestructive approach;sound signatures;Malakatad;Malakanin;Malauhog;Philippines setting;PCA;KNN;SVM;ANN model;artificial neural network;vibration sensor;acoustic response;vibration motor;sound vibrations;maturity stage;scientific method;classification system;post-harvest industry standards;fruit maturity classification;acoustic vibration;young coconut maturity detection,,2,,16,IEEE,16-Apr-20,,,IEEE,IEEE Conferences
A Real-time Driving Drowsiness Detection Algorithm With Individual Differences Consideration,F. You; X. Li; Y. Gong; H. Wang; H. Li,"School of Civil Engineering and Transportation, South China University of Technology, Guangzhou, China; School of Civil Engineering and Transportation, South China University of Technology, Guangzhou, China; School of Civil Engineering and Transportation, South China University of Technology, Guangzhou, China; School of Transportation and Economic Management, Guangdong Communication Polytechnic, Guangzhou, China; Xinjiang Technical Institute of Physics and Chemistry, Chinese Academy of Sciences, Urumqi, China",IEEE Access,20-Dec-19,2019,7,,179396,179408,"The research work about driving drowsiness detection algorithm has great significance to improve traffic safety. Presently, there are many fruits and literature about driving drowsiness detection method. However, most of them are devoted to find a universal drowsiness detection method, while ignore the individual driver differences. This paper proposes a real-time driving drowsiness detection algorithm that considers the individual differences of driver. A deep cascaded convolutional neural network was constructed to detect the face region, which avoids the problem of poor accuracy caused by artificial feature extraction. Based on the Dlib toolkit, the landmarks of frontal driver facial in a frame are found. According to the eyes landmarks, a new parameter, called Eyes Aspect Ratio, is introduced to evaluate the drowsiness of driver in the current frame. Taking into account differences in size of driver's eyes, the proposed algorithm consists of two modules: offline training and online monitoring. In the first module, a unique fatigue state classifier, based on Support Vector Machines, was trained which taking the Eyes Aspect Ratio as input. Then, in the second module, the trained classifier is application to monitor the state of driver online. Because the fatigue driving state is gradually produced, a variable which calculated by number of drowsy frames per unit time is introduced to assess the drowsiness of driver. Through comparative experiments, we demonstrate this algorithm outperforms current driving drowsiness detection approaches in both accuracy and speed. In simulated driving applications, the proposed algorithm detects the drowsy state of driver quickly from 640 * 480 resolution images at over 20fps and 94.80% accuracy. The research result can serve intelligent transportation system, ensure driver safety and reduce the losses caused by drowsy driving.",2169-3536,,10.1109/ACCESS.2019.2958667,"National Natural Science Foundation of China(grant numbers:51808151,51408237); Natural Science Foundation of Guangdong Province; Guangdong Provincial Public Welfare Research and Capacity Building Special Project(grant numbers:2016A020223002); Guangdong Provincial Science and Technology Plan Project(grant numbers:2017A040405021); Fundamental Research Funds for Guangdong Communication Polytechnic(grant numbers:20181014); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8930504,Traffic safety;driving drowsiness detection;CNN;individual differences;SVM,Vehicles;Face;Convolutional neural networks;Feature extraction;Real-time systems;Detection algorithms;Training,convolutional neural nets;driver information systems;face recognition;feature extraction;image classification;intelligent transportation systems;object detection;road accidents;road safety;road traffic;support vector machines,eyes landmarks;driver online;fatigue driving state;drowsy frames;simulated driving applications;drowsy state;driver safety;drowsy driving;universal drowsiness detection method;real-time driving drowsiness detection algorithm;deep cascaded convolutional neural network;frontal driver facial;driver differences;fatigue state classifier;eyes aspect ratio;traffic safety;face region;Dlib toolkit;support vector machines;intelligent transportation system,,19,,41,CCBY,10-Dec-19,,,IEEE,IEEE Journals
A real-time smart fruit quality grading system classifying by external appearance and internal flavor factors,H. S. Choi; J. B. Cho; S. G. Kim; H. S. Choi,"Mokpo National University, Mokpo, Jeollanam-do, KR; Dept. of Multimedia Engineering, Mokpo National University, Muan-Gun, Korea; Dept. of electronic Engineering, Mokpo National University, Muan-Gun, Korea; Cyber Tech Co., Gwang-ju, Korea",2018 IEEE International Conference on Industrial Technology (ICIT),30-Apr-18,2018,,,2081,2086,"The fruit grading by visual inspection suffers from the problem of inconsistency in judgment by different persons. There is a need for an automatic fruit classification machine replacing the expensive human labor with a smart fruit quality classification system. This study proposed a practical real-time smart fruits quality grading system classifying by appearance and internal flavor factors in order to decrease human labor cost in fruit industry. The proposed system applies color image processing techniques for the computation of the fruits appearance features and the near-infrared spectroscopy analysis methods for the estimation of internal flavor factors. This study also suggests an artificial neural network model in order to be able to classify fruit grading. The proposed ANN model is trained and tested with 1,900 numbers of pears for grading. It has achieved the classification accuracy rate of 97.4% in our experiment.",,978-1-5090-5949-2,10.1109/ICIT.2018.8352510,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8352510,fruit quality grading system;image processing;near-infrared spectroscopy;artificial neural network,Entropy;Real-time systems;Spectroscopy;Moisture;Color;Artificial neural networks;Vibrations,agricultural products;automatic optical inspection;feature extraction;food products;image classification;image colour analysis;inspection;learning (artificial intelligence);neural nets,fruits appearance features;internal flavor factors;fruit grading;automatic fruit classification machine;smart fruit quality classification system;fruit industry;real-time smart fruit quality grading system;real-time smart fruits quality grading system;artificial neural network model;ANN model,,7,,11,IEEE,30-Apr-18,,,IEEE,IEEE Conferences
A Review of Turbidity Detection Based on Computer Vision,Y. Liu; Y. Chen; X. Fang,"College of Information and Electrical Engineering, China Agricultural University, Beijing, China; College of Information and Electrical Engineering, China Agricultural University, Beijing, China; College of Information and Electrical Engineering, China Agricultural University, Beijing, China",IEEE Access,6-Nov-18,2018,6,,60586,60604,"Computer vision technology has made great progress in practice in recent years, and it also has broad application prospects in turbidity detection. Turbidity detection plays an important role in water environment science, but popular turbidity detection methods have some limitations in aspects of cost, convenience, and space-time coverage. Based on above reasons, researchers are devoted to developing image-based turbidity detection methods as a complementary or even alternative to the popular turbidity detection method. However, the use of computer vision technology to detect turbidity is affected by many factors such as imaging system, feature extraction, model selection, and so on. Currently, there is no comparison and analysis of these methods in a framework. Therefore, this paper introduces typical turbidity detection methods based on computer vision in detail, with their principle, measurement range, accuracy, technical framework, and comparison. In this paper, existing studies are divided into four types according to different image sources, and seven image features mainly used in these studies are pointed out. The objective of this paper is to review the development status, existing problems, future research directions of image-based turbidity detection methods, and establishment of a unified framework which includes principles, technical framework, and main equipment of imaging systems.",2169-3536,,10.1109/ACCESS.2018.2875071,Shandong Province Key Research and Development Program called Research and Demonstration of Accurate Monitoring and Controlling Technologies for Environment of Vegetable in Facility(grant numbers:2017CXGC0201); Science and Technology Program of Beijing called Research and Demonstration of Technologies Equipment Capable of Intelligent Control for Large-Scale Healthy Cultivation of Freshwater Fish(grant numbers:Z171100001517016); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8488353,Computer vision;turbidity detection;feature extraction;imaging system;water quality;application,Computer vision;Instruments;Scattering;Standards;Feature extraction;Imaging;Computational modeling,computer vision;feature extraction;geophysical image processing;turbidity;water resources,image-based turbidity detection methods;water environment science;space-time coverage;imaging system;feature extraction;model selection;image sources;computer vision technology,,13,,78,OAPA,10-Oct-18,,,IEEE,IEEE Journals
